collegeTeam,collegeConference,nflTeam,year,overall,round,pick,name,position
Ohio State,Big Ten,Cleveland,2018,4,1,4,Denzel Ward,Cornerback
Arkansas,Southwest,Chicago,1979,4,1,4,Dan Hampton,Defensive Tackle
Florida State,ACC,New York,1993,4,1,4,Marvin Jones,Linebacker
NC State,ACC,New York,2004,4,1,4,Philip Rivers,Quarterback
USC,Pac-8,New York,1977,4,1,4,Marvin Powell,Offensive Tackle
Northwestern,Big Ten,Denver,1983,4,1,4,Chris Hinton,Offensive Guard
Texas,Big 12,Buffalo,2002,4,1,4,Mike Williams,Offensive Tackle
Arizona State,Western Athletic,Buffalo,1971,4,1,4,J.D. Hill,Wide Receiver
Tennessee State,,Chicago,1974,4,1,4,Waymond Bryant,Linebacker
Ohio State,Big Ten,Indianapolis,1982,4,1,4,Art Schlichter,Quarterback
Utah State,FBS Independents,New England,1970,4,1,4,Phil Olsen,Defensive Tackle
Clemson,ACC,Buffalo,2014,4,1,4,Sammy Watkins,Wide Receiver
Texas,Big 12,Chicago,2005,4,1,4,Cedric Benson,Running Back
Colorado,Big 8,Washington,1995,4,1,4,Michael Westbrook,Wide Receiver
Ohio State,Big Ten,New York,1978,4,1,4,Chris Ward,Offensive Tackle
Wake Forest,ACC,Seattle,2009,4,1,4,Aaron Curry,Outside Linebacker
Florida,SEC,Atlanta,2021,4,1,4,Kyle Pitts,Tight End
Missouri,Big 8,Los Angeles,1968,4,1,4,Russ Washington,Offensive Tackle
Jackson State,,Chicago,1975,4,1,4,Walter Payton,Running Back
Virginia,ACC,New York,2006,4,1,4,D'Brickashaw Ferguson,Offensive Tackle
Auburn,SEC,Green Bay,1987,4,1,4,Brent Fullwood,Running Back
Clemson,ACC,Tampa Bay,2007,4,1,4,Gaines Adams,Defensive End
Georgia,SEC,Cincinnati,2011,4,1,4,A.J. Green,Wide Receiver
Pittsburgh,FBS Independents,Minnesota,1985,4,1,4,Chris Doleman,Defensive End
Arkansas,Southwest,Los Angeles,1983,5,1,5,Billy Ray Smith,Linebacker
LSU,SEC,Arizona,2011,5,1,5,Patrick Peterson,Cornerback
Notre Dame,FBS Independents,Los Angeles,1991,5,1,5,Todd Lyght,Defensive Back
Alabama,SEC,Miami,2020,5,1,5,Tua Tagovailoa,Quarterback
NC State,ACC,Denver,2018,5,1,5,Bradley Chubb,Defensive End
Purdue,Big Ten,Arizona,1973,5,1,5,Dave Butz,Defensive Tackle
Nebraska,Big 8,Indianapolis,1974,5,1,5,John Dutton,Defensive Tackle
Western Michigan,Mid-American,Tennessee,2017,5,1,5,Corey Davis,Wide Receiver
Houston,FBS Independents,Cleveland,1975,5,1,5,Mack Mitchell,Defensive End
Duke,ACC,Cleveland,1987,5,1,5,Mike Junkin,Linebacker
Florida State,ACC,Jacksonville,2016,5,1,5,Jalen Ramsey,Cornerback
TCU,Western Athletic,Los Angeles,2001,5,1,5,LaDainian Tomlinson,Running Back
Texas,Big 12,Detroit,1997,5,1,5,Bryant Westbrook,Defensive Back
Ohio State,Big Ten,Green Bay,2006,5,1,5,A.J. Hawk,Linebacker
Auburn,SEC,Tampa Bay,2005,5,1,5,Carnell Williams,Running Back
Oklahoma State,Big 8,Buffalo,1978,5,1,5,Terry Miller,Running Back
Penn State,Big Ten,Chicago,1998,5,1,5,Curtis Enis,Running Back
UTEP,FBS Independents,Green Bay,1968,5,1,5,Fred Carr,Linebacker
USC,Pac-10,Los Angeles,1990,5,1,5,Junior Seau,Linebacker
Michigan State,Big Ten,Tennessee,1967,5,1,5,George Webster,Linebacker
USC,Pac-10,Indianapolis,1985,5,1,5,Duane Bickett,Linebacker
Texas,Big 12,New Orleans,1999,5,1,5,Ricky Williams,Running Back
Houston,FBS Independents,Denver,1972,5,1,5,Riley Odoms,Tight End
Oklahoma State,Big 12,Jacksonville,2012,5,1,5,Justin Blackmon,Wide Receiver
Nebraska,Big 8,Indianapolis,1994,5,1,5,Trev Alberts,Linebacker
Penn State,Big Ten,Carolina,1995,5,1,5,Kerry Collins,Quarterback
Grambling,,Philadelphia,1971,5,1,5,Richard Harris,Defensive End
BYU,FBS Independents,Detroit,2013,5,1,5,Ezekiel Ansah,Defensive End
Tennessee,SEC,Baltimore,2000,5,1,5,Jamal Lewis,Running Back
Clemson,ACC,Buffalo,1979,5,1,5,Jerry Butler,Wide Receiver
Miami,Big East,Washington,2004,5,1,5,Sean Taylor,Defensive Back
Texas,Big 12,Los Angeles,2002,5,1,5,Quentin Jammer,Defensive Back
Tennessee,SEC,Kansas City,2010,5,1,5,Eric Berry,Safety
Pittsburgh,FBS Independents,Kansas City,1984,5,1,5,Bill Maas,Defensive Tackle
Michigan State,Big Ten,Arizona,1986,5,1,5,Anthony Bell,Linebacker
Penn State,Big Ten,Arizona,2007,5,1,5,Levi Brown,Offensive Tackle
Florida State,FBS Independents,Atlanta,1989,5,1,5,Deion Sanders,Defensive Back
LSU,SEC,Cincinnati,2021,5,1,5,Ja'Marr Chase,Wide Receiver
USC,Pac-8,Buffalo,1970,5,1,5,Al Cowlings,Defensive End
BYU,Western Athletic,Chicago,1982,5,1,5,Jim McMahon,Quarterback
USC,Pac-10,New York,2009,5,1,5,Mark Sanchez,Quarterback
Alabama,SEC,Cincinnati,1993,5,1,5,John Copeland,Defensive End
Cincinnati,Missouri Valley,Cincinnati,1969,5,1,5,Greg Cook,Quarterback
Alabama,SEC,Arizona,1981,5,1,5,E.J. Junior,Linebacker
Florida State,FBS Independents,Green Bay,1992,5,1,5,Terrell Buckley,Defensive Back
Kansas State,Big 12,Dallas,2003,5,1,5,Terence Newman,Defensive Back
Arizona State,Western Athletic,New England,1976,5,1,5,Mike Haynes,Defensive Back
Buffalo,Mid-American,Las Vegas,2014,5,1,5,Khalil Mack,Outside Linebacker
LSU,SEC,Kansas City,2008,5,1,5,Glenn Dorsey,Defensive Tackle
Texas A&M,Southwest,Indianapolis,1980,5,1,5,Curtis Dickey,Running Back
Iowa,Big Ten,Washington,2015,5,1,5,Brandon Scherff,Offensive Tackle
LSU,SEC,Tampa Bay,2019,5,1,5,Devin White,Inside Linebacker
USC,Pac-8,New York,1977,5,1,5,Gary Jeter,Defensive End
Notre Dame,FBS Independents,Indianapolis,2018,6,1,6,Quenton Nelson,Offensive Guard
Ohio State,Big Ten,New York,2008,6,1,6,Vernon Gholston,Defensive End
NC State,ACC,Los Angeles,1999,6,1,6,Torry Holt,Wide Receiver
Houston,Southwest,Cincinnati,1992,6,1,6,David Klingler,Quarterback
Clemson,ACC,Seattle,1982,6,1,6,Jeff Bryant,Defensive End
Duke,ACC,New York,2019,6,1,6,Daniel Jones,Quarterback
Alabama,SEC,Atlanta,2011,6,1,6,Julio Jones,Wide Receiver
North Carolina,ACC,Kansas City,2002,6,1,6,Ryan Sims,Defensive Tackle
USC,Pac-10,Chicago,1990,6,1,6,Mark Carrier,Defensive Back
LSU,SEC,New York,2017,6,1,6,Jamal Adams,Safety
Florida,SEC,Los Angeles,1995,6,1,6,Kevin Carter,Defensive End
Georgia,SEC,New Orleans,2003,6,1,6,Johnathan Sullivan,Defensive Tackle
Georgia,SEC,New England,2001,6,1,6,Richard Seymour,Defensive Tackle
Oklahoma State,Big 12,Seattle,2010,6,1,6,Russell Okung,Offensive Tackle
Alabama,SEC,Miami,2021,6,1,6,Jaylen Waddle,Wide Receiver
Oklahoma,Big 8,Philadelphia,1970,6,1,6,Steve Zabel,Linebacker
Notre Dame,FBS Independents,Baltimore,2016,6,1,6,Ronnie Stanley,Offensive Tackle
