collegeTeam,collegeConference,nflTeam,year,overall,round,pick,name,position
Pittsburgh,FBS Independents,Green Bay,1976,101,4,9,Tom Perko,Linebacker
Louisiana Tech,Southland,Pittsburgh,1978,101,4,17,Larry Anderson,Defensive Back
Wisconsin,Big Ten,Tennessee,1995,101,4,3,Michael Roan,Tight End
Indiana,Big Ten,Carolina,2018,101,4,1,Ian Thomas,Tight End
Ohio State,Big Ten,Los Angeles,1999,101,4,6,Joe Germaine,Quarterback
Arizona State,Pac-12,Denver,2012,101,4,6,Omar Bolden,Cornerback
USC,Pac-10,Las Vegas,2006,101,4,4,Darnell Bing,Linebacker
Iowa,Big Ten,Jacksonville,1998,101,4,9,Tavian Banks,Running Back
Florida State,ACC,Denver,2000,101,4,7,Jerry Johnson,Defensive Tackle
San José State,PCAA,Los Angeles,1980,101,4,18,Ed Luther,Quarterback
Grambling,,Atlanta,1979,101,4,19,Charles Johnson,Defensive Back
Penn State,Big Ten,Los Angeles,2008,101,4,2,Justin King,Cornerback
Texas A&M,Big 12,Dallas,2009,101,4,1,Stephen McGee,Quarterback
Auburn,SEC,Tennessee,1991,101,4,18,David Rocker,Defensive Tackle
Oklahoma,Big 12,Dallas,2016,101,4,3,Charles Tapper,Defensive End
Boston College,FBS Independents,Dallas,1970,101,4,23,John Fitzgerald,Offensive Tackle
Auburn,SEC,San Francisco,1986,101,4,19,Steve Wallace,Offensive Tackle
Toledo,Mid-American,San Francisco,1971,101,4,23,Tony Harris,Running Back
Syracuse,Big East,Tampa Bay,2010,101,4,3,Mike Williams,Wide Receiver
South Carolina,SEC,Jacksonville,2013,101,4,4,Ace Sanders,Wide Receiver
Miami,FBS Independents,Minnesota,1981,101,4,18,John Swain,Defensive Back
Nebraska,Big 12,Atlanta,2004,101,4,5,Demorrio Williams,Linebacker
LSU,SEC,Houston,2003,101,4,4,Domanick Davis,Running Back
Oklahoma,Big 8,Las Vegas,1973,101,4,23,Joe Wylie,Wide Receiver
Northern Michigan,,Dallas,1974,101,4,23,Andy Andrade,Running Back
Auburn,SEC,Los Angeles,1975,101,4,23,Ken Bernich,Linebacker
Florida,SEC,Philadelphia,2014,101,4,1,Jaylen Watkins,Cornerback
Fresno State,Western Athletic,Tennessee,1994,101,3,36,Malcolm Seabron,Wide Receiver
Florida State,ACC,Washington,1993,101,4,17,Sterling Palmer,Defensive End
Syracuse,Big East,Dallas,1997,101,4,5,Antonio Anderson,Defensive Tackle
Georgia,SEC,Cincinnati,2011,101,4,4,Clint Boling,Offensive Guard
Bowling Green,Mid-American,Arizona,1984,101,4,17,Martin Bayless,Defensive Back
Northwestern,Big Ten,Cleveland,2002,101,4,3,Kevin Bentley,Linebacker
USC,AAWU,New York,1968,101,4,18,Gary Magner,Defensive Tackle
Virginia Tech,ACC,New England,2020,101,3,37,Dalton Keene,Tight End
Northwestern,Big Ten,Kansas City,1969,101,4,23,Jack Rudnay,Center
Chattanooga,,Seattle,1989,101,4,17,Travis McNeal,Tight End
Michigan,Big Ten,Dallas,1982,101,4,18,Brian Carpenter,Defensive Back
Duke,ACC,Denver,1977,101,4,17,Bill Bryan,Center
Miami (OH),Mid-American,New England,1967,101,4,21,Ed Philpott,Defensive End
Clemson,ACC,New England,1983,101,4,17,Johnny Rembert,Linebacker
Michigan State,Big Ten,Cleveland,1990,101,4,20,Harlon Barnett,Defensive Back
Maryland,ACC,Jacksonville,2007,101,4,2,Adam Podlesh,Punter
Lamar,,Denver,2017,101,3,37,Brendan Langley,Cornerback
Michigan,Big Ten,Kansas City,1992,101,4,17,Mike Evans,Defensive End
West Virginia,Big 12,New England,2019,101,3,37,Yodny Cajuste,Offensive Tackle
Arkansas,SEC,New England,2015,101,4,2,Trey Flowers,Defensive End
Grambling,,Chicago,1987,101,4,17,Sean Smith,Defensive End
TCU,Big 12,New England,2013,102,4,5,Josh Boyce,Wide Receiver
Florida State,ACC,New Orleans,2003,102,4,5,Montrae Holland,Offensive Guard
Arkansas,SEC,Arizona,2000,102,4,8,David Barrett,Defensive Back
Oregon,Pac-8,Denver,1972,102,4,24,Tom Graham,Linebacker
Miami,FBS Independents,Las Vegas,1970,102,4,24,Tony Cline,Linebacker
Tennessee State,,Cleveland,1977,102,4,18,Oliver Davis,Defensive Back
Iowa,Big Ten,Philadelphia,2005,102,4,1,Sean Considine,Defensive Back
USC,Pac-10,Tennessee,1993,102,4,18,Travis Hannah,Wide Receiver
Florida State,FBS Independents,Philadelphia,1992,102,4,18,Casey Weldon,Quarterback
Miami,FBS Independents,San Francisco,1986,102,4,20,Kevin Fagan,Defensive Tackle
Florida,SEC,San Francisco,2002,102,4,4,Jeff Chandler,Place Kicker
Texas,Big 12,Minnesota,2007,102,4,3,Brian Robison,Defensive End
USC,Pac-10,Cleveland,2011,102,4,5,Jordan Cameron,Tight End
Weber State,,Los Angeles,1989,102,4,18,Jeff Carlson,Quarterback
Iowa State,Big 8,Tennessee,1991,102,4,19,Marcus Robertson,Defensive Back
Winston-Salem,,New England,1987,102,4,18,Derrick Beasley,Defensive Back
Michigan State,Big Ten,Pittsburgh,1973,102,4,24,Gail Clark,Linebacker
Michigan,Big Ten,San Francisco,2021,102,3,39,Ambry Thomas,Cornerback
Elon,,Washington,1984,102,4,18,Jimmy Smith,Running Back
Southern Illinois,,New Orleans,1969,102,4,24,Bob Hudspeth,Offensive Tackle
Michigan State,Big Ten,Washington,2012,102,4,7,Kirk Cousins,Quarterback
Southern Illinois,Missouri Valley,Atlanta,1983,102,4,18,John Harper,Linebacker
Clemson,ACC,Miami,1998,102,4,10,Lorenzo Bromell,Defensive End
Western Michigan,Mid-American,New England,1985,102,4,18,Tom Toth,Offensive Tackle
Clemson,ACC,Washington,2014,102,4,2,Bashaud Breeland,Cornerback
Ohio State,Big Ten,Kansas City,2009,102,4,2,Donald Washington,Cornerback
Texas Tech,Southwest,Tampa Bay,1980,102,4,19,Larry Flowers,Defensive Back
Michigan State,Big Ten,Denver,1968,102,4,19,Drake Garrett,Defensive Back
Penn State,FBS Independents,Buffalo,1975,102,4,24,Tom Donchez,Running Back
Mississippi State,SEC,New York,1997,102,4,6,Terry Day,Defensive End
USC,Pac-10,Miami,2004,102,4,6,Will Poole,Defensive Back
Ohio State,Big Ten,Minnesota,2018,102,4,2,Jalyn Holmes,Defensive End
Colorado State,Western Athletic,Seattle,1979,102,4,20,Mark E. Bell,Tight End
Charlotte,Conference USA,Pittsburgh,2020,102,3,38,Alex Highsmith,Outside Linebacker
Wake Forest,ACC,Green Bay,2008,102,4,3,Jeremy Thompson,Defensive End
Vanderbilt,SEC,Atlanta,2001,102,4,7,Matt Stewart,Linebacker
North Carolina,ACC,Seattle,2017,102,3,38,Nazair Jones,Defensive Tackle
Boise State,Mountain West,Minnesota,2019,102,3,38,Alexander Mattison,Running Back
UC Riverside,,Los Angeles,1974,102,4,24,Frank Johnson,Offensive Tackle
Ohio State,Big Ten,Los Angeles,2016,102,4,4,Joshua Perry,Inside Linebacker
Montana,,Atlanta,1976,102,4,10,Walt Brett,Defensive End
Oklahoma,Big 12,Carolina,2015,102,4,3,Daryl Williams,Offensive Tackle
Penn State,Big Ten,Tennessee,2006,102,4,5,Calvin Lowry,Defensive Back
California,Pac-10,Las Vegas,1999,102,4,7,Dameane Douglas,Wide Receiver
Miami,ACC,Houston,2010,102,4,4,Darryl Sharpton,Inside Linebacker
Connecticut,,Minnesota,1971,102,4,24,Vince Clements,Running Back
Alabama,SEC,Cincinnati,1995,102,4,4,Sam Shade,Defensive Back
Tennessee State,FBS Independents,New England,1978,102,4,18,Dwight Wheeler,Offensive Tackle
NC State,ACC,Dallas,1994,102,3,37,George Hegamin,Offensive Tackle
Tulsa,Missouri Valley,New England,1981,102,4,19,Don Blackmon,Linebacker
Louisiana Monroe,,Green Bay,1990,102,4,21,Jackie Harris,Tight End
Boston College,FBS Independents,New York,1982,102,4,19,Gerry Raymond,Offensive Guard
Syracuse,FBS Independents,Buffalo,1967,102,4,22,Gary Bugenhagen,Offensive Tackle
Minnesota,Big Ten,Chicago,2001,103,4,8,Karon Riley,Defensive End
Ole Miss,SEC,Dallas,1971,103,4,25,Buddy Mitchell,Offensive Tackle
Georgia Tech,ACC,Dallas,1985,103,4,19,Robert Lavette,Running Back
Michigan State,Big Ten,Detroit,1999,103,4,8,Sedrick Irvin,Running Back
Iowa State,Big 12,Arizona,2019,103,4,1,Hakeem Butler,Wide Receiver
Northern Michigan,,Dallas,1967,103,4,23,Curtis Marker,Offensive Tackle
UCLA,Pac-10,Pittsburgh,2000,103,4,9,Danny Farmer,Wide Receiver
Kentucky,SEC,Atlanta,1969,103,4,25,Dicky Lyons,Defensive Back
Oregon,Pac-10,Los Angeles,2002,103,4,5,Justin Peelle,Tight End
Houston,Southwest,Tampa Bay,1982,103,4,20,Dave Barrett,Running Back
Stanford,Pac-10,Indianapolis,1990,103,4,22,Alan Grant,Defensive Back
Mississippi State,SEC,Indianapolis,1984,103,4,19,George Wonsley,Running Back
Oklahoma,Big 12,Carolina,2012,103,4,8,Frank Alexander,Defensive End
Florida State,FBS Independents,Green Bay,1992,103,4,19,Edgar Bennett,Running Back
Baylor,Southwest,Chicago,1980,103,4,20,Arland Thompson,Offensive Guard
Baylor,Big 12,New York,2015,103,4,4,Bryce Petty,Quarterback
TCU,Conference USA,Tennessee,2004,103,4,7,Bo Schobel,Defensive End
Wisconsin,Big Ten,New York,1997,103,4,7,Pete Monty,Linebacker
Florida Atlantic,Conference USA,New Orleans,2017,103,3,39,Trey Hendrickson,Defensive End
Oklahoma,Big 8,Pittsburgh,1991,103,4,20,Adrian Cooper,Tight End
Clemson,ACC,Los Angeles,2009,103,4,3,Dorell Scott,Defensive Tackle
North Carolina,ACC,Atlanta,1998,103,4,11,Omar Brown,Defensive Back
Southern Mississippi,FBS Independents,Seattle,1989,103,4,19,James Henry,Defensive Back
North Carolina,ACC,Los Angeles,1981,103,4,20,Amos Lawrence,Running Back
Texas Tech,Big 12,Houston,2018,103,4,3,Keke Coutee,Wide Receiver
Boston College,FBS Independents,Buffalo,1973,103,4,25,Jeff Yeates,Defensive Tackle
Florida State,ACC,Atlanta,2014,103,4,3,Devonta Freeman,Running Back
Washington,Pac-10,Kansas City,1993,103,4,19,Jaime Fields,Linebacker
Kansas,Big 8,Minnesota,1975,103,4,25,Bruce Adams,Wide Receiver
Georgia,SEC,Cincinnati,1977,103,4,19,Mike Wilson,Offensive Tackle
Occidental,,Las Vegas,1986,103,4,21,Vance Mueller,Running Back
San Diego State,Western Athletic,Washington,1979,103,4,21,Don Warren,Tight End
Texas,Big 12,Arizona,2011,103,4,6,Sam Acho,Defensive End
Abilene Christian,,Cincinnati,1974,103,4,25,Richard Williams,Wide Receiver
Tulane,FBS Independents,Arizona,1983,103,4,19,Lionel Washington,Defensive Back
Missouri,Big 12,New York,2006,103,4,6,Brad Smith,Wide Receiver
Miami,Big East,Washington,1995,103,4,5,Larry Jones,Running Back
Clemson,ACC,Cincinnati,1987,103,4,19,Jim Riggs,Tight End
Washington,Pac-10,Dallas,2007,103,4,4,Isaiah Stanback,Quarterback
Winston-Salem,,Tennessee,2008,103,4,4,William Hayes,Defensive End
LSU,SEC,Washington,2010,103,4,5,Perry Riley,Outside Linebacker
California,Pac-10,Philadelphia,1994,103,3,38,Eric Zomalt,Defensive Back
LSU,SEC,Dallas,2003,103,4,6,Bradie James,Linebacker
Texas,Big 12,Arizona,2013,103,4,6,Alex Okafor,Defensive End
Ole Miss,SEC,New Orleans,1968,103,4,20,Dan Sartin,Offensive Tackle
Oklahoma,Big 12,Cleveland,2005,103,4,2,Antonio Perkins,Defensive Back
Chattanooga,Southern,Cleveland,1978,103,4,19,Pete Pullara,Offensive Guard
UCLA,Pac-8,Chicago,1976,103,4,11,John Sciarra,Defensive Back
Colorado,Pac-12,Philadelphia,2020,103,3,39,Davion Taylor,Outside Linebacker
Iowa,Big Ten,Washington,1970,103,4,25,Paul Laaveg,Offensive Tackle
South Carolina,SEC,Los Angeles,2021,103,3,40,Ernest Jones,Inside Linebacker
Ohio,Mid-American,Miami,1972,103,4,25,Al Benton,Offensive Tackle
Notre Dame,FBS Independents,Jacksonville,2016,103,4,5,Sheldon Day,Defensive Tackle
Texas A&M,Southwest,Philadelphia,1991,104,4,21,William Thomas,Linebacker
Minnesota,Big Ten,New York,1969,104,4,26,Ezell Jones,Offensive Tackle
North Carolina,ACC,New York,1997,104,4,8,Leon Johnson,Running Back
Oklahoma State,Big 8,Seattle,1987,104,4,20,Mark Moore,Defensive Back
NC State,ACC,Cincinnati,2019,104,4,2,Ryan Finley,Quarterback
Florida,SEC,Chicago,2002,104,4,6,Alex Brown,Defensive End
Michigan,Big Ten,Miami,1973,104,4,26,Bo Rather,Wide Receiver
Miami,Big East,Tampa Bay,1993,104,4,20,Horace Copeland,Wide Receiver
Illinois,Big Ten,Denver,1986,104,4,22,Jim Juriga,Offensive Tackle
Oklahoma,Big 12,New York,2014,104,4,4,Jalen Saunders,Wide Receiver
LSU,SEC,Miami,2005,104,4,3,Travis Daniels,Defensive Back
San Diego State,PCAA,Cincinnati,1970,104,4,26,Billie Hayes,Defensive Back
UNLV,Mountain West,Cleveland,2008,104,4,5,Beau Bell,Inside Linebacker
Hawai'i,Western Athletic,San Francisco,2004,104,4,8,Isaac Sopoaga,Defensive Tackle
Nebraska,Big 8,Atlanta,1980,104,4,21,I.M. Hipp,Running Back
Michigan,Big Ten,New York,1976,104,4,12,Gordon Bell,Running Back
Nebraska,Big 12,San Francisco,2007,104,4,5,Jay Moore,Linebacker
Virginia,ACC,Kansas City,1982,104,4,21,Stuart Anderson,Linebacker
Tennessee,SEC,Tampa Bay,2011,104,4,7,Luke Stocker,Tight End
Memphis,FBS Independents,Kansas City,1977,104,4,20,Eric Harris,Defensive Back
Florida State,ACC,Cincinnati,1994,104,4,1,Corey Sawyer,Defensive Back
SMU,American Athletic,Baltimore,2021,104,3,41,Brandon Stephens,Cornerback
Temple,American Athletic,Baltimore,2016,104,4,6,Tavon Young,Cornerback
USC,Pac-10,Cleveland,2009,104,4,4,Kaluka Maiava,Outside Linebacker
Missouri,Big 8,Kansas City,1978,104,4,20,Pete Woods,Quarterback
Virginia Tech,Big East,Tampa Bay,1998,104,4,12,Todd Washington,Center
Florida,SEC,Miami,2013,104,4,7,Jelani Jenkins,Outside Linebacker
NC State,ACC,Los Angeles,1999,104,4,9,Jason Perry,Defensive Back
Hawai'i',,Los Angeles,2000,104,4,10,Kaulana Noa,Offensive Tackle
Louisiana Monroe,FBS Independents,Los Angeles,1979,104,4,22,John Floyd,Wide Receiver
Louisville,ACC,Jacksonville,2015,104,4,5,James Sample,Safety
Tennessee,SEC,Los Angeles,1995,104,4,6,Aaron Hayden,Running Back
Baylor,Southwest,Atlanta,1992,104,4,20,Frankie Smith,Defensive Back
Fresno State,Western Athletic,Seattle,2001,104,4,9,Orlando Huff,Linebacker
Boston College,FBS Independents,Cleveland,1984,104,4,20,Brian Brennan,Wide Receiver
Iowa,Big Ten,San Francisco,2017,104,3,40,C.J. Beathard,Quarterback
Houston,FBS Independents,Pittsburgh,1975,104,4,26,Harold Evans,Linebacker
West Virginia,FBS Independents,Arizona,1985,104,4,20,Ron Wolfley,Running Back
NC State,ACC,Indianapolis,2018,104,4,4,Nyheim Hines,Running Back
Oregon,Pac-10,Jacksonville,2003,104,4,7,George Wrighster,Tight End
Drake,Missouri Valley,Miami,1974,104,4,26,Bill Stevenson,Defensive Tackle
TCU,Mountain West,Green Bay,2006,104,4,7,Cory Rodgers,Wide Receiver
Texas A&M-Commerce,,Kansas City,1967,104,4,24,Ron Zwernemann,Offensive Guard
UCLA,Pac-10,Tennessee,2010,104,4,6,Alterraun Verner,Cornerback
Michigan State,Big Ten,Indianapolis,1972,104,4,26,Eric Allen,Wide Receiver
Arkansas,SEC,Carolina,2012,104,4,9,Joe Adams,Wide Receiver
Texas A&M,Southwest,Tennessee,1989,104,4,20,Rod Harris,Wide Receiver
Texas A&M-Commerce,,Pittsburgh,1971,104,4,26,Dwight White,Defensive End
Pittsburgh,FBS Independents,Minnesota,1990,104,4,23,Alonzo Hampton,Defensive Back
Michigan,Big Ten,Los Angeles,1981,104,4,21,George Lilja,Center
Nebraska,Big 8,Cleveland,1968,104,4,21,Wayne Meylan,Linebacker
Utah,Pac-12,Los Angeles,2020,104,3,40,Terrell Burgess,Safety
Tennessee,SEC,Green Bay,1983,104,4,20,Mike Miller,Wide Receiver
Oregon,Pac-10,Detroit,1990,105,4,24,Chris Oldham,Defensive Back
NC State,ACC,Minnesota,2002,105,4,7,Brian Williams,Defensive Back
Southern,,Tampa Bay,1995,105,4,7,Jerry Wilson,Defensive Back
Purdue,Big Ten,Tennessee,1968,105,4,22,Jim Beirne,Wide Receiver
Michigan,Big Ten,Cincinnati,1998,105,4,13,Glen Steele,Defensive Tackle
Pittsburgh,ACC,Pittsburgh,2017,105,3,41,James Conner,Running Back
NC State,ACC,Detroit,2007,105,4,6,A.J. Davis,Defensive Back
Drake,,Buffalo,1969,105,5,1,Ben Mayes,Defensive Tackle
Western Illinois,,Los Angeles,1974,105,5,1,John Teerlinck,Defensive Tackle
Penn State,Big Ten,New York,2000,105,4,11,Brandon Short,Linebacker
Nevada,Mountain West,Buffalo,2013,105,4,8,Duke Williams,Safety
Texas,Southwest,Indianapolis,1975,105,5,1,Roosevelt Leaks,Running Back
Missouri,Big 12,Kansas City,2008,105,4,6,Will Franklin,Wide Receiver
California,Pac-10,New York,1983,105,4,21,Wes Howell,Tight End
Florida State,ACC,Buffalo,2012,105,4,10,Nigel Bradham,Outside Linebacker
Texas,Big 12,Chicago,2009,105,4,5,Henry  Melton,Defensive End
Florida State,ACC,Seattle,2005,105,4,4,Ray Willis,Offensive Tackle
Louisiana,FBS Independents,Baltimore,1999,105,4,10,Brandon Stokley,Wide Receiver
Minnesota,Big Ten,Tennessee,1987,105,4,21,Mark Dusbabek,Linebacker
Oregon,Pac-10,Kansas City,2004,105,4,9,Samie Parker,Wide Receiver
South Carolina,SEC,Buffalo,2006,105,4,8,Ko Simpson,Defensive Back
Colorado,Big 8,Miami,1993,105,4,21,Ronnie Bradford,Defensive Back
Virginia Tech,FBS Independents,Arizona,1967,105,4,25,Andy Bowling,Linebacker
NC State,ACC,Chicago,1991,105,4,22,Joe Johnson,Defensive Back
Northwestern,Big Ten,Chicago,1997,105,4,9,Darnell Autry,Running Back
Alcorn State,,Buffalo,1972,105,5,1,Leon Garror,Defensive Back
Missouri,Big 8,Dallas,1980,105,4,22,Kurt Petersen,Defensive End
Nebraska,Big 12,Washington,2011,105,4,8,Roy Helu,Running Back
Florida,SEC,Cleveland,2018,105,4,5,Antonio Callaway,Wide Receiver
Dayton,,New Orleans,2020,105,3,41,Adam Trautman,Tight End
Duke,ACC,Washington,2015,105,4,6,Jamison Crowder,Wide Receiver
Oklahoma,Big 8,Green Bay,1981,105,4,22,Richard Turner,Defensive Tackle
Maryland,ACC,Los Angeles,1978,105,4,21,Mark Manges,Quarterback
Kentucky,SEC,Philadelphia,2010,105,4,7,Trevard Lindley,Cornerback
Florida State,ACC,New England,2014,105,4,5,Bryan Stork,Center
Ohio State,Big Ten,Philadelphia,1982,105,4,22,Anthony Griggs,Linebacker
Notre Dame,FBS Independents,New England,1971,105,5,1,Tim Kelly,Linebacker
Arizona,Pac-10,New York,1989,105,4,21,Brad Henke,Defensive Tackle
Wisconsin,Big Ten,Green Bay,2001,105,4,10,Bill Ferrario,Offensive Guard
Georgia,SEC,Chicago,1985,105,4,21,Kevin Butler,Place Kicker
Penn State,FBS Independents,New York,1986,105,4,23,Rogers Alexander,Linebacker
Ohio State,Big Ten,Denver,2021,105,3,42,Baron Browning,Outside Linebacker
Oregon,Pac-10,Minnesota,2003,105,4,8,Onterrio Smith,Running Back
Utah,Western Athletic,Washington,1994,105,4,2,Kurt Haws,Tight End
Northwestern State,,New York,1984,105,4,21,Gary Reasons,Linebacker
Oklahoma,Big 8,Cincinnati,1977,105,4,21,Jerry Anderson,Defensive Back
USC,Pac-8,Tennessee,1973,105,5,1,Edesel Garrison,Wide Receiver
Florida,SEC,New Orleans,2019,105,4,3,Chauncey Gardner-Johnson,Safety
Missouri,Big 8,Pittsburgh,1970,105,5,1,Jon Staggers,Defensive Back
Florida,SEC,Indianapolis,1992,105,4,21,Tony McCoy,Defensive Tackle
Cincinnati,American Athletic,Kansas City,2016,105,4,7,Parker Ehinger,Offensive Guard
McNeese,Southland,Denver,1979,105,4,23,Charles Jefferson,Defensive Back
South Carolina State,,New York,1976,105,4,13,Harry Carson,Linebacker
Texas A&M,Big 12,Chicago,1999,106,4,11,Warrick Holdman,Linebacker
Nebraska,Big 12,Arizona,1997,106,4,10,Chris Dishman,Offensive Guard
BYU,Western Athletic,Tennessee,1981,106,4,23,Nick Eyre,Offensive Tackle
USC,Pac-10,Indianapolis,1994,106,4,3,Bradford Banta,Tight End
Michigan State,Big Ten,Chicago,2015,106,4,7,Jeremy Langford,Running Back
Florida,SEC,New Orleans,1967,106,4,26,Bill Carr,Center
Ole Miss,SEC,New Orleans,1970,106,5,2,Glenn Cannon,Defensive Back
Kansas,Big 8,Pittsburgh,1971,106,5,2,Larry Brown,Tight End
Iowa,Big Ten,Denver,2018,106,4,6,Josey Jewell,Inside Linebacker
Utah State,Western Athletic,Seattle,2012,106,4,11,Robert Turbin,Running Back
Wisconsin,Big Ten,Carolina,1998,106,4,14,Donald Hayes,Wide Receiver
North Carolina,ACC,Indianapolis,2002,106,4,8,David Thornton,Linebacker
Baylor,Southwest,Pittsburgh,1983,106,4,22,Bo Scott Metcalf,Defensive Back
Ole Miss,SEC,Chicago,1968,106,4,23,Alan Bush,Offensive Guard
Purdue,Big Ten,Chicago,2005,106,4,5,Kyle Orton,Quarterback
Texas A&M-Commerce,,Minnesota,2000,106,4,12,Antonio Wilson,Linebacker
Louisiana Tech,Western Athletic,Cleveland,2004,106,4,10,Luke McCown,Quarterback
Nebraska,Big 8,Cincinnati,1976,106,4,14,Tony Davis,Running Back
Texas A&M,Southwest,Indianapolis,1990,106,4,25,Rick Cunningham,Offensive Tackle
South Carolina,SEC,San Francisco,2014,106,4,6,Bruce Ellington,Wide Receiver
Michigan State,Big Ten,Miami,2013,106,4,9,Dion Sims,Tight End
Arkansas,Southwest,Pittsburgh,1973,106,5,2,David Reavis,Defensive End
Arizona State,Pac-10,Tampa Bay,1987,106,4,22,Bruce Hill,Wide Receiver
USC,Pac-12,Jacksonville,2021,106,4,1,Jay Tufele,Defensive Tackle
Iowa,Big Ten,Minnesota,2011,106,4,9,Christian Ballard,Defensive Tackle
Florida State,ACC,Carolina,2001,106,4,11,Chris Weinke,Quarterback
New Mexico,Western Athletic,Tennessee,1980,106,4,23,Chris Combs,Tight End
Arizona State,Western Athletic,Miami,1975,106,5,2,Morris Owens,Wide Receiver
LSU,SEC,New Orleans,1989,106,4,22,Mike Mayes,Defensive Back
Eastern Michigan,Mid-American,Las Vegas,2019,106,4,4,Maxx Crosby,Defensive End
BYU,Western Athletic,Minnesota,1985,106,4,22,Kyle Morrell,Defensive Back
Tulsa,Conference USA,New England,2006,106,4,9,Garrett Mills,Running Back
Mississippi State,SEC,New York,1995,106,4,8,Melvin Hayes,Offensive Tackle
New Mexico,Mountain West,Baltimore,2008,106,4,7,Marcus Smith,Wide Receiver
Clemson,ACC,Minnesota,1993,106,4,22,Ashley Sheppard,Linebacker
Mississippi State,SEC,Baltimore,2020,106,3,42,Tyre Phillips,Offensive Tackle
Michigan,Big Ten,Seattle,2017,106,3,42,Amara Darboh,Wide Receiver
Maryland,ACC,Las Vegas,2010,106,4,8,Bruce Campbell,Offensive Tackle
Arkansas,Southwest,Minnesota,1969,106,5,2,Jim Barnes,Offensive Guard
Oregon,Pac-10,Dallas,1991,106,4,23,Bill Musgrave,Quarterback
Minnesota,Big Ten,Kansas City,2016,106,4,8,Eric Murray,Cornerback
Syracuse,Big East,Tampa Bay,2007,106,4,7,Tanard Jackson,Defensive Back
Minnesota,Big Ten,New Orleans,1992,106,4,22,Sean Lumpkin,Defensive Back
BYU,Western Athletic,Denver,1982,106,4,23,Dan Plater,Wide Receiver
Texas A&M,Southwest,Philadelphia,1986,106,4,24,Matt Darwin,Center
Ohio State,Big Ten,Cincinnati,1972,106,5,2,Tom DeLeone,Center
Tulsa,Missouri Valley,New England,1979,106,4,24,Eddie Hare,Punter
Arizona State,Pac-10,Los Angeles,2003,106,4,9,Shaun McDonald,Wide Receiver
Penn State,FBS Independents,Buffalo,1974,106,5,2,Gary Hayman,Wide Receiver
Arkansas,SEC,Cincinnati,2009,106,4,6,Jonathan Luigs,Center
Tulane,FBS Independents,Miami,1978,106,4,22,Eric Laakso,Offensive Tackle
Hawai'i',,Pittsburgh,1977,106,4,22,Dan Audick,Offensive Guard
Maryland,ACC,Detroit,1984,106,4,22,Dave D'Addio,Running Back
Missouri,Big 8,Philadelphia,1969,107,5,3,Jim Anderson,Offensive Guard
UCLA,Pac-8,Chicago,1973,107,5,3,Allan Ellis,Defensive Back
Tennessee State,FBS Independents,Detroit,1978,107,4,23,Homer Elias,Offensive Guard
Maryland-Eastern Shore,,Indianapolis,1968,107,4,24,James Duncan,Running Back
Wisconsin,Big Ten,New England,1987,107,4,23,Tim Jordan,Linebacker
Penn State,Big Ten,Kansas City,2002,107,4,9,Omar Easy,Running Back
Georgia,SEC,Seattle,2011,107,4,10,Kris Durham,Wide Receiver
Maryland,ACC,Los Angeles,1981,107,4,24,Eric Sievers,Tight End
Kansas State,Big 12,Kansas City,2001,107,4,12,Monty Beisel,Defensive End
North Carolina,ACC,New York,2021,107,4,2,Michael Carter,Running Back
Miami,FBS Independents,Los Angeles,1991,107,4,24,Robert Bailey,Defensive Back
Memphis,FBS Independents,Los Angeles,1977,107,4,23,Eary Jones,Defensive End
Appalachian State,Sun Belt,Cincinnati,2020,107,4,1,Akeem Davis-Gaither,Outside Linebacker
Maryland,ACC,Denver,1975,107,5,3,Stan Rogers,Offensive Tackle
Florida State,ACC,Indianapolis,2004,107,4,11,Kendyll Pope,Linebacker
LSU,SEC,Tampa Bay,2017,107,3,43,Kendell Beckwith,Inside Linebacker
Troy,,Tennessee,1997,107,4,11,Pratt Lyons,Defensive End
Utah State,PCAA,Denver,1980,107,4,24,Rick Parros,Running Back
Virginia,ACC,New York,1995,107,4,9,Tyrone Davis,Wide Receiver
Southern Mississippi,FBS Independents,Arizona,1994,107,4,4,Perry Carter,Defensive Back
Arizona,Pac-10,Jacksonville,2009,107,4,7,Mike Thomas,Wide Receiver
Fresno State,Western Athletic,Kansas City,2012,107,4,12,Devon Wylie,Wide Receiver
Texas A&M,Big 12,San Francisco,2008,107,4,8,Cody Wallace,Center
Arizona State,Pac-10,Las Vegas,2000,107,4,13,Junior Ioane,Defensive Tackle
Iowa,Big Ten,Tampa Bay,2019,107,4,5,Anthony Nelson,Defensive End
Nebraska,Big 12,Los Angeles,2003,107,4,10,DeJuan Groce,Defensive Back
Stephen F. Austin,,New York,1990,107,4,26,David Whitmore,Defensive Back
Cincinnati,American Athletic,Baltimore,2016,107,4,9,Chris Moore,Wide Receiver
Louisiana Tech,Conference USA,Las Vegas,2014,107,4,7,Justin Ellis,Defensive Tackle
Pennsylvania,Ivy,New York,1974,107,5,3,Don Clune,Wide Receiver
Virginia Tech,Big East,Chicago,1992,107,4,23,Will Furrer,Quarterback
East Carolina,American Athletic,Atlanta,2015,107,4,8,Justin Hardy,Wide Receiver
Wisconsin,Big Ten,Tampa Bay,2005,107,4,6,Dan Buenning,Offensive Guard
Ohio State,Big Ten,New Orleans,2007,107,4,8,Antonio Pittman,Running Back
Notre Dame,FBS Independents,New York,1972,107,5,3,Tom Gatewood,Wide Receiver
